2020-05-23 21:55:49,420 INFO  SnsAmbassador - Start Simulation
2020-05-23 21:55:49,437 INFO  SnsAmbassador - Using TransmissionModel: Flood
2020-05-23 21:55:56,560 INFO  SnsAmbassador - Initialized SNS
2020-05-23 21:56:02,767 INFO  SnsAmbassador - Add RSU id=rsu_0 @time=0.000,000,000 s
2020-05-23 21:56:04,596 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:04,630 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:04,649 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:04,664 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:04,692 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:05,260 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:05,343 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:05,378 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:05,400 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:05,418 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:05,454 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:05,578 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:05,650 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:05,680 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:05,810 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:05,847 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:06,028 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:06,069 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:06,092 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:06,226 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
